repo_name,github_url,stargazers,forkers,ratio
sveltejs/svelte,https://github.com/sveltejs/svelte,73852,2182,33.85
facebook/react,https://github.com/facebook/react,25106,3417,7.35
vuejs/vue,https://github.com/vuejs/vue,23012,2714,8.48
sindresorhus/awesome,https://github.com/sindresorhus/awesome,18264,1417,12.89
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,18027,1852,9.73
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,17886,1459,12.26
flutter/flutter,https://github.com/flutter/flutter,17785,738,24.1
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,17173,1145,15.0
airbnb/javascript,https://github.com/airbnb/javascript,17082,1681,10.16
denoland/deno,https://github.com/denoland/deno,16400,700,23.43
ant-design/ant-design,https://github.com/ant-design/ant-design,15793,2075,7.61
tauri-apps/tauri,https://github.com/tauri-apps/tauri,15080,242,62.31
facebook/react-native,https://github.com/facebook/react-native,14671,1300,11.29
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,14439,1507,9.58
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,14398,917,15.7
vitejs/vite,https://github.com/vitejs/vite,14388,905,15.9
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,13570,471,28.81
webpack/webpack,https://github.com/webpack/webpack,13441,1141,11.78
mrdoob/three.js,https://github.com/mrdoob/three.js,13441,1471,9.14
nodejs/node,https://github.com/nodejs/node,13409,1496,8.96
nestjs/nest,https://github.com/nestjs/nest,13062,544,24.01
microsoft/playwright,https://github.com/microsoft/playwright,13040,270,48.3
strapi/strapi,https://github.com/strapi/strapi,12928,662,19.53
zeit/next.js,https://github.com/zeit/next.js,12823,1230,10.43
rust-lang/rust,https://github.com/rust-lang/rust,12584,592,21.26
danistefanovic/build-your-own-x,https://github.com/danistefanovic/build-your-own-x,12575,616,20.41
evanw/esbuild,https://github.com/evanw/esbuild,12265,259,47.36
electron/electron,https://github.com/electron/electron,12246,865,14.16
gothinkster/realworld,https://github.com/gothinkster/realworld,12000,429,27.97
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,11936,697,17.12
GoogleChrome/puppeteer,https://github.com/GoogleChrome/puppeteer,11886,513,23.17
golang/go,https://github.com/golang/go,11868,632,18.78
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,11856,894,13.26
